car_title,price,mileage,body,extcol,intcol,fuecon,engine,ftype,trans,dtype,doors
Used 2012 Honda Fit Sport,10999,"68,255",Hatchback,Milano Red,Black,City 27/Hwy 33/Comb 30 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,16985,"18,943",Sedan,Rallye Red,,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda CR-V FWD Touring,26330,"21,003",Sport Utility,Silver,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Fit LX,16988,"9,085",Hatchback,Milano Red,Black,City 33/Hwy 40/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Fit EX,17488,"25,897",Hatchback,White Orchid Pearl,Black,City 32/Hwy 38/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2015 Honda Civic EX-L Sedan,17888,"38,078",Sedan,White Orchid Pearl,Black,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Fit LX,12973,"46,148",Hatchback,Mystic Yellow Pearl,,City 33/Hwy 41/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord LX Sedan,17988,"5,726",Sedan,White,Tan,City 27/Hwy 37/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic LX Sedan,18488,"8,336",Sedan,Red,Tan,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Fit Sport,18488,"4,400",Hatchback,Black,Black,City 33/Hwy 40/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda CR-V AWD EX-L,29988,350,Sport Utility,,,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2019 Honda Accord Touring Hybrid,31988,"5,023",Sedan,Platinum White Pearl,Black,Gas - City 48/Hwy 48/Comb 48 MPG,4-Cylinder,Hybrid Gas/Electric,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2008 Honda Civic LX Sedan,6700,"110,611",Sedan,Nighthawk Black Pearl,Gray,City 25/Hwy 36/Comb 29 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2008 Honda Element 4WD EX,10000,"120,638",Sport Utility,Atomic Blue Metallic,Gray/Black,City 19/Hwy 24/Comb 21 MPG,4-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive,Two Door
Certified 2017 Honda Civic LX Sedan,16477,"35,699",Sedan,Cosmic Blue Metallic,Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic LX Sedan,14688,"33,160",Sedan,Modern Steel Metallic,Black/Gray,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2015 Honda Civic EX Sedan,16888,"18,957",Sedan,Rallye Red,Gray,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Civic EX Sedan,16988,"41,488",Sedan,Modern Steel Metallic,Black/Gray,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Civic LX Sedan,17488,"27,336",Sedan,Modern Steel Metallic,Black/Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2014 Honda Odyssey EX-L,17988,"65,408",Van,Modern Steel Metallic,Truffle,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Civic EX Sedan,18688,"28,988",Sedan,Crystal Black Pearl,Black,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Civic EX-T Coupe,18988,"19,196",Coupe,Taffeta White,Black/Gray,35 MPG Combined,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2018 Honda Accord 1.5T Sport,24500,"11,800",Sedan,Modern Steel Metallic,Black,City 29/Hwy 35/Comb 31 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda CR-V AWD EX-L,28288,"7,171",Sport Utility,White,Black,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2018 Honda Pilot FWD EX,30999,"14,239",Sport Utility,Lunar Silver Metallic,Gray,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2019 Honda Pilot FWD EX,33288,14,Sport Utility,Modern Steel,Gray,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2013 Honda Pilot FWD LX,6999,"192,393",Sport Utility,Silver,Charcoal,City 17/Hwy 24/Comb 20 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2014 Honda Civic LX Coupe,10700,"64,687",Coupe,Crystal Black Pearl,Gray,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2015 Honda Civic LX Sedan,11499,"56,724",Sedan,Blue,Black,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Accord EX-L Coupe,12985,"91,325",Coupe,White Orchid Pearl,,City 26/Hwy 35/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2018 Honda Civic Touring Sedan,23000,"3,298",Sedan,Taffeta White,Black,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Fit LX,14288,"33,717",Hatchback,Aegean Blue Metallic,Black,City 33/Hwy 40/Comb 36 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic LX Sedan,16985,"36,817",Sedan,Crystal Black Pearl,,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Accord Sport Sedan,16988,"53,198",Sedan,White Orchid Pearl,Black,City 26/Hwy 35/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Odyssey EX-L,21381,"61,400",Van,White Diamond Pearl,Truffle,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic LX Sedan,16988,"44,524",Sedan,Championship White,Ivory,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Accord LX Sedan,16988,"34,249",Sedan,Modern Steel Metallic,Black,City 27/Hwy 36/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Accord EX Coupe,17288,"36,014",Coupe,Modern Steel Metallic,Black,City 26/Hwy 35/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Certified 2017 Honda Civic LX Sedan,17288,"30,276",Sedan,Lunar Silver Metallic,Black,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda HR-V FWD EX,17740,"54,650",Sport Utility,White Orchid Pearl,,City 27/Hwy 31/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic LX Sedan,18888,"25,560",Sedan,Aegean Blue Metallic,Black/Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Civic LX Sedan,19188,"19,412",Sedan,Polished Metal Metallic,Black/Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Odyssey EX-L,34988,"17,099",Van,White Diamond Pearl,Mocha,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,9-Speed Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Accord Sport Sedan,20988,"45,672",Sedan,White Orchid Pearl,,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Accord Sport Sedan,21009,"28,650",Sedan,Crystal Black Pearl,Black,City 26/Hwy 34/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic Si Coupe,21905,"30,951",Coupe,White Orchid Pearl,,City 28/Hwy 38/Comb 32 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2018 Honda Civic EX-L Sedan,22488,622,Sedan,Nh830m,A,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Pilot FWD EX,22888,"57,767",Sport Utility,Steel,Gray,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda CR-V AWD LX,24688,33,Sport Utility,Diamond White Pearl,Ivory,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2016 Honda Pilot FWD Touring,25985,"51,501",Sport Utility,Gray,,City 19/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,9-Speed Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Pilot FWD EX,26388,"34,859",Sport Utility,Gray,Gray,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda CR-V FWD EX-L,26888,"7,711",Sport Utility,Obsidian Blue Pearl,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda CR-V FWD EX,26988,"1,019",Sport Utility,Gunmetal Metallic,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda CR-V FWD EX-L,27288,"15,356",Sport Utility,Sandstorm Metallic,Ivory,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda CR-V FWD EX-L,29488,137,Sport Utility,Modern Steel,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda Accord 2.0T Sport,31488,"6,485",Sedan,Crystal Black Pearl,Black,City 29/Hwy 35/Comb 31 MPG,4-Cylinder Turbo,Gasoline,10-Speed Automatic,2 wheel drive - front,Four Door
Certified 2018 Honda Odyssey EX-L,34988,"17,099",Van,White Diamond Pearl,Mocha,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,9-Speed Automatic,2 wheel drive - front,Four Door
Used 2010 Honda Insight EX,11300,"66,981",Hatchback,Dk. Gray,Gray,Gas - City 40/Hwy 43/Comb 41 MPG,Hybrid,Hybrid Gas/Electric,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Civic Si Coupe,20988,"25,838",Coupe,Taffeta White,Black,City 28/Hwy 38/Comb 32 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2016 Honda Accord LX Sedan,14499,"46,719",Sedan,White,Tan,City 27/Hwy 37/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Civic LX Sedan,14600,"37,548",Sedan,Dk. Gray,Gray,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V FWD SE,14688,"68,680",Sport Utility,Basque Red,Black,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic LX,18460,"18,797",Hatchback,Gray,Tan,City 31/Hwy 40/Comb 36 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2010 Honda CR-V EX,14700,"72,150",Sport Utility,White,Gray,City 21/Hwy 27/Comb 23 MPG,4-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive,Four Door
Used 2013 Honda Civic Si Coupe,17100,"39,825",Coupe,Silver,Black,City 22/Hwy 31/Comb 25 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2013 Honda Civic Si Sedan,17400,"55,526",Sedan,Black,Black,City 22/Hwy 31/Comb 25 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Four Door
Used 2014 Honda Ridgeline RTL,18988,"118,699",Truck,Taffeta White,Black,City 15/Hwy 21/Comb 17 MPG,6-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive - front wheel default,Four Door
Used 2016 Honda CR-V FWD EX,19000,"20,378",Sport Utility,Blue,Gray,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2014 Honda Pilot FWD EX-L,19788,"88,455",Sport Utility,Modern Steel Metallic,Gray,City 17/Hwy 24/Comb 20 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Accord 1.5T LX,19988,"16,369",Sedan,Radiant Red Metallic,Ivory,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord EX-L Sedan,20840,"9,865",Sedan,White,Tan,City 27/Hwy 37/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Civic Si Coupe,20988,"25,838",Coupe,Taffeta White,Black,City 28/Hwy 38/Comb 32 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2016 Honda Accord Touring Coupe,23000,"23,532",Coupe,Black,Black,,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Two Door
Used 2019 Honda CR-V AWD Touring,32400,"6,388",Sport Utility,Green,Black,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2018 Honda Odyssey EX-L,34000,"6,436",Van,Blue,Gray,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,9-Speed Automatic,2 wheel drive - front,Four Door
Used 2013 Honda Civic Hybrid Sedan,7999,"117,910",Sedan,Gray,Charcoal,Gas - City 44/Hwy 44/Comb 44 MPG,Hybrid,Hybrid Gas/Electric,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2013 Honda CR-V FWD LX,10999,"96,495",Sport Utility,Blue,Gray,City 22/Hwy 30/Comb 25 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2013 Honda Civic EX-L,11999,"71,838",Sedan,Alabaster Silver Metallic,Black,City 28/Hwy 39/Comb 32 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2011 Honda Accord EX-L Coupe,13200,"87,872",Coupe,Red,Black,City 22/Hwy 33/Comb 26 MPG,6-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Two Door
Used 2016 Honda Civic EX-T Sedan,15644,"39,848",Sedan,Modern Steel Metallic,Gray,35 MPG Combined,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord Sport Sedan,18100,"32,593",Sedan,Dk. Gray,Black,City 26/Hwy 35/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda CR-V FWD EX-L,18488,"48,813",Sport Utility,Obsidian Blue Pearl,Black,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Odyssey EX-L,22600,"55,697",Van,Dk. Gray,Gray,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2012 Honda Accord LX-S Coupe,8699,"109,928",Coupe,Silver,Black,City 22/Hwy 33/Comb 26 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Two Door
Used 2012 Honda CR-Z EX,14400,"25,277",Hatchback,Silver,Gray,Gas - City 35/Hwy 39/Comb 37 MPG,Hybrid,Hybrid Gas/Electric,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2015 Honda Accord Sport Sedan,15999,"73,320",Sedan,White Orchid Pearl,Black,City 26/Hwy 35/Comb 29 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2019 Honda CR-V AWD EX-L,29988,350,Sport Utility,,,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Certified 2017 Honda Civic LX Sedan,17500,"19,796",Sedan,Cosmic Blue Metallic,Black/Gray,City 31/Hwy 40/Comb 34 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Accord Sport Sedan,18300,"29,888",Sedan,Black,Black,City 26/Hwy 35/Comb 30 MPG,4-Cylinder,Gasoline,6-Speed Manual,2 wheel drive - front,Four Door
Certified 2015 Honda Civic EX-L Sedan,18500,"34,085",Sedan,Taffeta White,Black,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Pilot 4WD EX,23520,"59,778",Sport Utility,Gray,Gray,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,All wheel drive,Four Door
Used 2016 Honda CR-V AWD EX,19100,"27,932",Sport Utility,Dk. Red,Gray,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2012 Honda Odyssey Touring,22400,"47,609",Van,Gray,Gray,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2016 Honda Odyssey SE,23440,"24,000",Van,Silver,Gray,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2019 Honda Accord 1.5T EX-L,26980,"1,912",Sedan,Silver,Gray,City 30/Hwy 38/Comb 33 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Pilot 4WD EX-L,28100,"37,932",Sport Utility,Black,Black,City 18/Hwy 26/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,All wheel drive,Four Door
Used 2017 Honda Ridgeline 2WD RTL-T,30400,"11,012",Truck,Dk. Gray,Gray,City 18/Hwy 25/Comb 21 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic Type R Hatchback,34000,"5,623",Hatchback,White,Black,City 22/Hwy 28/Comb 25 MPG,4-Cylinder Turbo,Gasoline,6-Speed Manual,2 wheel drive - front,Four Door
Used 2016 Honda Accord Sport Sedan,19240,"15,368",Sedan,Silver,Black,City 26/Hwy 35/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Pilot 4WD Touring,35800,"21,191",Sport Utility,White,Black,City 19/Hwy 26/Comb 22 MPG,6-Cylinder,Gasoline,9-Speed Shiftable Automatic,4 wheel drive - front wheel default,Four Door
Used 2007 Honda Civic EX Coupe,6999,"121,724",Coupe,Galaxy Gray Metallic,Ivory,City 25/Hwy 36/Comb 29 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Two Door
Used 2008 Honda Accord EX,7999,"146,424",Sedan,Taffeta White,Ivory,City 21/Hwy 31/Comb 24 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2011 Honda Accord LX-P Sedan,10000,"93,205",Sedan,Taffeta White,Ivory,City 23/Hwy 34/Comb 27 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2012 Honda Civic EX Sedan,10999,"77,352",Sedan,Polished Metal Metallic,Stone,City 28/Hwy 39/Comb 32 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2012 Honda Civic EX Coupe,12000,"73,040",Coupe,Rallye Red,Gray,City 28/Hwy 39/Comb 32 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Two Door
Used 2015 Honda Civic LX Sedan,12391,"33,275",Sedan,Black,Black,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2013 Honda Civic EX Sedan,12735,"50,649",Sedan,Polished Metal Metallic,Gray,City 28/Hwy 39/Comb 32 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Civic LX Sedan,12865,"45,005",Sedan,Black,Gray,City 30/Hwy 39/Comb 33 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2012 Honda CR-V FWD LX,14303,"48,530",Sport Utility,Urban Titanium Metallic,Gray,City 22/Hwy 30/Comb 25 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Certified 2015 Honda CR-Z EX,14500,"35,054",Hatchback,North Shore Blue Pearl,Black,Gas - City 36/Hwy 39/Comb 37 MPG,Hybrid,Hybrid Gas/Electric,Continuously Variable Automatic,2 wheel drive - front,Two Door
Certified 2016 Honda Civic LX Sedan,16000,"32,862",Sedan,Modern Steel Metallic,Black/Gray,City 31/Hwy 41/Comb 35 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2014 Honda Accord EX-L,16348,"44,768",Sedan,White Orchid Pearl,Ivory,City 27/Hwy 36/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2015 Honda Accord EX Sedan,16429,"41,817",Sedan,Silver,Black,City 27/Hwy 36/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2016 Honda Accord LX Sedan,17500,"36,765",Sedan,Obsidian Blue Pearl,Gray,City 27/Hwy 37/Comb 31 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2014 Honda Accord EX-L Sedan,14500,"90,110",Sedan,Silver,Gray,City 27/Hwy 36/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Accord LX Sedan,18000,"29,890",Sedan,Deep Blue Opal Metallic,Gray,City 27/Hwy 36/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Certified 2017 Honda Accord LX Sedan,18500,"23,122",Sedan,Basque Red Pearl Ii,Ivory,City 27/Hwy 36/Comb 30 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2017 Honda Civic EX-T Sedan,18988,"15,314",Sedan,,,City 32/Hwy 42/Comb 36 MPG,4-Cylinder Turbo,Gasoline,6-Speed Manual,2 wheel drive - front,Four Door
Used 2013 Honda Civic LX Sedan,10552,"81,111",Sedan,Gray,,City 28/Hwy 39/Comb 32 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2018 Honda Civic EX-T Coupe,19595,"5,691",Coupe,Rallye Red,Black/Gray,City 31/Hwy 40/Comb 35 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Two Door
Used 2016 Honda Odyssey EX,25000,"25,005",Van,Crystal Black Pearl,Gray,City 19/Hwy 28/Comb 22 MPG,6-Cylinder,Gasoline,6-Speed Automatic,2 wheel drive - front,Four Door
Used 2017 Honda CR-V AWD EX-L,25822,"20,387",Sport Utility,Gray,Gray,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Certified 2019 Honda CR-V AWD EX,27000,"7,685",Sport Utility,Modern Steel,Black,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Certified 2018 Honda CR-V AWD EX-L,28000,"9,545",Sport Utility,Diamond White Pearl,Black,City 27/Hwy 33/Comb 29 MPG,4-Cylinder Turbo,Gasoline,Continuously Variable Automatic,All wheel drive,Four Door
Used 2005 Honda Odyssey EX-L,4400,"187,253",Van,Gray,Gray,City 17/Hwy 23/Comb 19 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2007 Honda CR-V EX-L,6299,"176,574",Sport Utility,Nighthawk Black Pearl,Black,City 19/Hwy 26/Comb 22 MPG,4-Cylinder,Gasoline,5-Speed Automatic,4 wheel drive - front wheel default,Four Door
Certified 2019 Honda CR-V FWD LX,23900,"2,776",Sport Utility,Obsidian Blue Pearl,Gray,City 25/Hwy 31/Comb 27 MPG,4-Cylinder,Gasoline,Continuously Variable Automatic,2 wheel drive - front,Four Door
Used 2007 Honda Accord SE Sedan,6990,"106,433",Sedan,Alabaster Silver Metallic,Black,City 21/Hwy 31/Comb 25 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2008 Honda Accord LX-P Sedan,6999,"177,663",Sedan,Taffeta White,Ivory,City 21/Hwy 31/Comb 24 MPG,4-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2012 Honda Accord EX-L V6,8509,"157,898",Sedan,White Orchid Pearl,Ivory,City 23/Hwy 34/Comb 27 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
Used 2007 Honda Odyssey EX-L,8955,"100,749",Van,Silver Pearl Metallic,Gray,City 17/Hwy 24/Comb 19 MPG,6-Cylinder,Gasoline,5-Speed Automatic,2 wheel drive - front,Four Door
